Latitude,Longitude,Altitude,Speed,Bearing
45.491178,7.845157,270.88753907953827,0.37096268,110.71378
45.491153,7.844750,294.42282053716457,2.714371,245.17558
45.491034,7.844469,294.5207452155153,2.1762278,244.87299
45.490939,7.844167,294.97638088840836,2.630149,246.04329
45.490841,7.843854,297.7039205122296,3.4612184,242.78035
45.490741,7.843560,302.73308308029743,3.942088,245.53107
45.490661,7.843221,298.99934264179313,4.302733,246.67104
45.490550,7.842876,294.5392371972524,4.6469593,246.62854
45.490455,7.842561,290.7645471261028,4.680757,245.06392
45.490330,7.842236,286.83298343887816,4.6688924,239.31084
45.490227,7.841937,290.7720748276554,4.474935,240.45573
45.490101,7.841622,290.55917845523317,4.4076734,243.39494
45.490010,7.841322,296.41839284073865,2.1133068,245.59605
45.489766,7.841270,298.05248711004117,2.3670666,152.93225
45.489553,7.841420,298.93617007794825,2.9437244,154.41943
45.489358,7.841592,300.8606822727403,3.4059634,149.336
45.489117,7.841777,297.2245244172626,4.8363295,148.91985
45.488860,7.842055,295.9369144649701,12.01086,143.55014
45.488664,7.842273,295.79662186406983,13.9310055,143.56819
45.488452,7.842494,296.20626885441783,16.41275,143.30392
45.488193,7.842763,298.2578444160091,18.83778,143.65884
45.487913,7.843056,297.3487137702618,20.073355,144.09946
45.487605,7.843384,298.55356446855353,21.619137,143.49847
45.487279,7.843751,298.2727667604295,23.610624,143.89938
45.487098,7.843958,297.84681865877536,25.562517,143.12967
45.486912,7.844169,296.78399757296336,26.843884,142.64816
45.486729,7.844379,296.49559158886746,26.616165,142.5727
45.486543,7.844589,297.27312297266525,27.08955,141.93825
45.486341,7.844816,297.5160857659508,28.526337,141.68448
45.486134,7.845049,297.3673591807638,28.956963,142.35304
45.485922,7.845279,297.4275545298516,29.17845,142.00883
45.485701,7.845517,296.907942093987,30.084255,142.70064
45.485477,7.845756,297.1634528577202,30.91195,143.04916
45.485252,7.845985,297.2294528226577,30.732395,143.97966
45.485024,7.846217,298.1588186154621,31.19885,144.57805
45.484795,7.846444,299.34668773149883,31.09356,144.24902
45.484568,7.846675,300.06996724965387,31.442068,144.50098
45.484340,7.846909,301.42490947486317,31.656181,144.01875
45.484108,7.847154,303.20280123285085,32.123486,143.96742
45.483876,7.847408,304.46862178055386,32.123486,143.97966
45.483644,7.847653,306.0194064927274,31.78603,143.32349
45.483397,7.847898,307.77200447179024,32.187416,143.7062
45.483163,7.848142,308.87765658586926,31.825893,144.51202
45.482926,7.848388,308.9811233537071,32.253403,145.02568
45.482685,7.848639,308.98983783207086,32.585026,144.88106
45.482444,7.848889,309.8070204222672,32.574276,144.39532
45.482209,7.849133,310.95581008355714,32.22933,144.08472
45.481970,7.849377,312.8272332526072,32.552727,144.38745
45.481725,7.849616,314.37028099728906,32.773148,145.2226
45.481494,7.849839,315.886032521328,31.034168,144.76442
45.481251,7.850066,317.3818912828107,31.645397,145.19621
45.481013,7.850289,318.8745434372367,31.398819,145.75726
45.480775,7.850503,320.5894350338499,31.527891,146.43802
45.480533,7.850720,321.73956536019995,31.735014,146.34299
45.480285,7.850943,323.2835861114578,32.437134,146.50507
45.480036,7.851173,325.306174781922,32.48505,146.28342
45.479784,7.851406,327.4415254303883,32.759007,145.73059
45.479530,7.851648,330.3453317540276,33.258713,146.51651
45.479268,7.851896,334.08956096566305,33.95762,145.83185
45.479000,7.852150,338.2625438100714,34.88394,145.77277
45.478729,7.852416,341.75527823619086,35.840313,145.30728
45.478450,7.852687,344.4079932788167,36.762127,145.89085
45.478161,7.852955,347.4419158039491,37.358784,146.60728
45.477870,7.853224,350.98737547583556,37.723267,147.5594
45.477580,7.853473,354.5036032374345,37.21704,148.7463
45.477284,7.853708,357.93212830776446,37.208595,150.43419
45.476984,7.853914,360.85144465439555,36.347576,152.72055
45.476680,7.854102,364.1592802457204,36.261814,154.92587
45.476386,7.854268,367.3044693293394,35.024445,157.04347
45.476089,7.854412,370.37961754584035,34.875523,159.36543
45.475781,7.854541,373.1741566405325,35.42909,161.18462
45.475443,7.854565,376.7171370717176,35.42909,159.17195
45.475104,7.854601,380.3705157398185,36.93616,163.87137
45.474766,7.854668,384.46244462687434,37.208347,170.81573
45.474428,7.854720,388.1382245160188,37.38225,171.97513
45.474128,7.854729,391.65930368075277,32.10751,173.99081
45.473802,7.854735,395.28085250063646,32.10751,172.90646
45.473449,7.854715,399.3807309234402,36.77261,185.87796
45.473100,7.854677,402.4332667973215,37.3275,186.64401
45.472760,7.854632,404.5701198266312,37.3275,182.80559
45.472438,7.854527,405.6856238563874,36.7444,187.9474
45.472123,7.854392,405.4186725112202,36.28063,191.43576
45.471808,7.854245,405.4504663404706,37.297504,193.75511
45.471496,7.854069,407.17954233574943,37.184616,198.3047
45.471194,7.853879,408.74328521300873,36.07332,200.5728
45.470891,7.853643,410.4054683369601,36.07332,199.42154
45.470584,7.853400,412.06166300743666,38.012897,203.18106
45.470277,7.853157,413.7114180421179,37.905014,206.02971
45.469998,7.852945,415.77006338199976,34.344738,209.50638
45.469727,7.852718,418.1391896576639,33.754124,210.17145
45.469452,7.852483,420.8560659007542,34.312115,210.79904
45.469146,7.852272,423.48991051059306,34.312115,209.4431
45.468833,7.852029,426.0438631331484,36.46078,212.30113
45.468538,7.851747,428.75470485600977,37.61173,216.12181
45.468235,7.851465,430.75766280126743,37.61173,214.26741
45.467963,7.851149,432.5728382429683,37.719635,217.3741
45.467723,7.850837,435.6280775536968,36.336445,221.48973
45.467484,7.850528,439.6025842975743,36.067158,221.8786
45.467247,7.850200,444.75707712264807,35.60372,222.22449
45.467011,7.849882,450.6594350725862,35.46992,221.75858
45.466773,7.849569,457.40504675517354,35.351963,220.81653
45.466539,7.849270,464.01561346819375,34.35581,220.1429
45.466290,7.848958,469.77681619162405,36.47975,220.73454
45.466042,7.848631,475.23804171853055,37.28444,221.36678
45.465822,7.848262,479.2917974049817,37.28444,221.36678
45.465580,7.847923,482.65696731751615,37.442547,221.38846
45.465329,7.847590,486.1100611578938,38.061802,220.42563
45.465073,7.847265,489.7926807628729,38.061802,221.36678
45.464813,7.846931,493.5683784492241,38.671635,221.40402
45.464549,7.846593,497.7714812860813,38.57026,221.79745
45.464278,7.846252,502.0072747331482,38.99287,220.81564
45.464007,7.845915,506.5267743007757,39.196934,220.37996
45.463732,7.845578,511.00405179551416,39.299713,220.75104
45.463465,7.845245,514.8928935156284,39.128677,221.01534
45.463201,7.844915,518.3948406984351,39.007023,221.11996
45.462932,7.844580,521.909709786374,39.171165,220.66144
45.462660,7.844253,524.9966589555094,38.79992,221.34946
45.462380,7.843924,527.7854974282404,39.049614,220.81024
45.462090,7.843599,530.1457929929114,40.03105,220.30219
45.461801,7.843270,532.5546498866369,39.886383,219.72514
45.461508,7.842946,535.2465043936149,40.40609,218.66754
45.461226,7.842628,537.7907062449019,38.981083,218.86574
45.460942,7.842326,540.3568699842332,38.791264,218.09021
45.460623,7.842058,542.7018950853787,38.791264,218.87555
45.460311,7.841784,545.3205084227812,39.587933,213.88252
45.459995,7.841490,547.5107753681846,41.089893,214.21483
45.459690,7.841206,549.1540046321807,40.188416,214.22092
45.459381,7.840920,550.5521124725961,40.457134,214.75616
45.459068,7.840623,551.5771695495971,40.457134,213.88252
45.458776,7.840301,552.3983937936252,40.180656,216.50157
45.458478,7.839987,553.3721034523667,40.333515,216.07172
45.458173,7.839672,554.1138057498467,40.898964,215.60878
45.457857,7.839365,554.5552152421784,41.65096,214.89395
45.457528,7.839088,555.0788569636152,41.65096,214.89395
45.457200,7.838801,555.4273583396233,41.81818,215.31161
45.456875,7.838499,556.0664175307431,42.476387,214.52945
45.456523,7.838243,557.2180109529228,42.476387,214.89395
45.456194,7.837943,559.0248912777873,42.53276,214.89395
45.455863,7.837620,561.6506883056427,43.192036,215.98087
45.455539,7.837305,564.6676119696044,42.569283,216.36072
45.455218,7.837002,568.1247626573673,42.201725,216.87561
45.454913,7.836678,571.970084116479,41.883976,218.13904
45.454613,7.836352,576.1184474299283,41.45706,219.2748
45.454317,7.836030,580.5848942337143,40.722107,219.85316
45.454018,7.835699,585.2806796314259,41.298084,219.55365
45.453713,7.835367,590.5115159828036,41.94808,219.05013
45.453403,7.835026,596.3659838022008,42.711308,219.24205
45.453096,7.834667,601.4548039608009,43.143307,220.15111
45.452786,7.834283,605.476597619748,43.143307,219.2748
45.452473,7.833927,609.2010152342743,43.08134,219.2748
45.452143,7.833600,613.16138339417,43.267143,218.34784
45.451811,7.833264,617.972231786462,44.01564,217.88249
45.451477,7.832934,623.3072785729187,44.077595,217.65318
45.451146,7.832606,628.5713249798939,43.98262,217.53964
45.450814,7.832293,633.8714072485569,43.23608,216.83054
45.450492,7.831968,639.6861295672469,42.96621,216.473
45.450171,7.831629,644.8815627093568,43.60908,216.29103
45.449857,7.831276,649.3488700617136,43.838894,216.74556
45.449550,7.830931,653.4211910297366,43.01361,216.96912
45.449263,7.830549,657.3040322875738,42.998856,218.15147
45.448991,7.830141,659.9465478680767,43.393795,221.0793
45.448726,7.829734,662.4802407371052,42.76318,226.29807
45.448464,7.829334,665.3606381175271,41.920128,225.57292
45.448201,7.828936,668.6239245909545,41.646645,226.03375
45.447932,7.828535,672.8614849904723,41.844215,226.84799
45.447658,7.828139,677.1377939185572,42.48515,226.79808
45.447383,7.827737,681.8652493891349,42.79597,226.86354
